"Table with row headers in Column A, and column headers in row 3",,,
Supplemental Table 1.,,,
Percentage of Workers Who Commuted by Bicycle in Small Cities: 2008Ð2012 ,,,
"(Total City Population of 20,000Ð99,999)1",,,
"(For information on confidentiality protection, sampling error, and definitions, see www.census.gov/acs/www/Downloads/data_documentation/ Accuracy
/ACS_Accuracy_of_Data_2012.pdf)",,,
City,Number of workers who commuted by bicycle,Percentage of workers,"Margin of 
error (±)2 "
"Broomfield city, Colorado ",218,0.7,0.4
"Brownsburg town, Indiana ",0,0.0,0.3
"Brunswick city, Ohio ",12,0.1,0.1
"Bryan city, Texas ",454,1.3,0.6
"Buckeye town, Arizona ",27,0.1,0.2
"Buena Park city, California ",453,1.3,0.7
"Buffalo Grove village, Illinois ",114,0.5,0.3
"Bullhead City city, Arizona ",0,0.0,0.3
"Burbank city, Illinois ",59,0.5,0.4
"Burien city, Washington ",51,0.3,0.2
"Burleson city, Texas ",73,0.4,0.4
"Burlingame city, California ",126,0.9,0.6
"Burlington city, Iowa ",98,0.9,0.9
"Burlington city, North Carolina ",0,0.0,0.2
"Burlington city, Vermont ","1,101",5.0,1.2
"Burnsville city, Minnesota ",127,0.4,0.3
"Burton city, Michigan ",14,0.1,0.2
"Butte-Silver Bow (balance), Montana ",42,0.3,0.4
"Cabot city, Arkansas ",0,0.0,0.3
"Calabasas city, California ",0,0.0,0.4
"Caldwell city, Idaho ",52,0.3,0.3
"Caledonia village, Wisconsin ",26,0.2,0.2
"Calexico city, California ",60,0.5,0.6
"Calumet City city, Illinois ",74,0.5,0.6
"Camarillo city, California ",156,0.5,0.3
"Camas city, Washington ",64,0.8,0.5
"Camden city, New Jersey ",84,0.4,0.4
"Campbell city, California ",432,2.0,1.0
"Canton city, Georgia ",0,0.0,0.4
"Canton city, Ohio ",58,0.2,0.1
"Cape Girardeau city, Missouri ",128,0.7,0.8
"Carbondale city, Illinois ",381,3.6,1.2
"Carlsbad city, New Mexico ",0,0.0,0.3
"Carmel city, Indiana ",137,0.3,0.2
"Carol Stream village, Illinois ",66,0.3,0.4
"Carpentersville village, Illinois ",7,0.0,0.1
"Carrboro town, North Carolina ",605,5.3,2.1
"Carrollton city, Georgia ",43,0.5,0.4
"Carson city, California ",85,0.2,0.2
"Carson City, Nevada ",261,1.1,0.6
"Carteret borough, New Jersey ",61,0.6,0.6
"Casa Grande city, Arizona ",48,0.3,0.2
"Casper city, Wyoming ",195,0.7,0.3
"Casselberry city, Florida ",72,0.6,0.5
"Castle Rock town, Colorado ",18,0.1,0.1
"Cathedral City city, California ",50,0.2,0.2
"Cedar City city, Utah ",117,1.0,0.5
"Cedar Falls city, Iowa ",146,0.7,0.4
"Cedar Hill city, Texas ",19,0.1,0.1
"Cedar Park city, Texas ",42,0.2,0.2
"Centerville city, Ohio ",3,0.0,4.1
"Central city, Louisiana ",0,0.0,0.3
"Ceres city, California ",78,0.5,0.6
"Cerritos city, California ",35,0.2,0.2
"Chambersburg borough, Pennsylvania ",28,0.3,0.4
"Champaign city, Illinois ","1,075",2.7,0.6
"Champlin city, Minnesota ",52,0.4,0.3
"Chanhassen city, Minnesota ",35,0.3,0.4
"Chapel Hill town, North Carolina ",583,2.2,0.5
"Charleston city, Illinois ",110,1.1,0.7
"Charleston city, West Virginia ",49,0.2,0.1
